run_number,run_time_ns,algorithm,file,file_size_bytes
1,99973910,merge-sort,04_10K.bin,10240
2,100127578,merge-sort,04_10K.bin,10240
3,100857377,merge-sort,04_10K.bin,10240
4,100816160,merge-sort,04_10K.bin,10240
5,100387575,merge-sort,04_10K.bin,10240
6,100675115,merge-sort,04_10K.bin,10240
7,100559337,merge-sort,04_10K.bin,10240
8,100358816,merge-sort,04_10K.bin,10240
9,99849701,merge-sort,04_10K.bin,10240
10,100138443,merge-sort,04_10K.bin,10240
