run_number,cycles,cpu_clock_hz,algorithm,file,file_size_bytes
1,11295598,2995315886,quick-sort,04_10K.bin,10240
2,9242816,2995315886,quick-sort,04_10K.bin,10240
3,2254500,2995315886,quick-sort,04_10K.bin,10240
4,2223394,2995315886,quick-sort,04_10K.bin,10240
5,2185778,2995315886,quick-sort,04_10K.bin,10240
6,2208004,2995315886,quick-sort,04_10K.bin,10240
7,2217634,2995315886,quick-sort,04_10K.bin,10240
8,2203208,2995315886,quick-sort,04_10K.bin,10240
9,2185082,2995315886,quick-sort,04_10K.bin,10240
10,2154710,2995315886,quick-sort,04_10K.bin,10240
