run_number,cycles,cpu_clock_hz,algorithm,file,file_size_bytes
1,22840748020,2995360060,bubble-sort,05_50K.bin,51200
2,22594427854,2995360060,bubble-sort,05_50K.bin,51200
3,22748423332,2995360060,bubble-sort,05_50K.bin,51200
4,22871080652,2995360060,bubble-sort,05_50K.bin,51200
5,22816679430,2995360060,bubble-sort,05_50K.bin,51200
6,21985413392,2995360060,bubble-sort,05_50K.bin,51200
7,22373817714,2995360060,bubble-sort,05_50K.bin,51200
8,22713151696,2995360060,bubble-sort,05_50K.bin,51200
9,22839153726,2995360060,bubble-sort,05_50K.bin,51200
10,22704846368,2995360060,bubble-sort,05_50K.bin,51200
