run_number,cycles,cpu_clock_hz,algorithm,file,file_size_bytes
1,1186138,2995352020,quick-sort,02_1K.bin,1024
2,1054576,2995352020,quick-sort,02_1K.bin,1024
3,1016570,2995352020,quick-sort,02_1K.bin,1024
4,1015982,2995352020,quick-sort,02_1K.bin,1024
5,959884,2995352020,quick-sort,02_1K.bin,1024
6,967938,2995352020,quick-sort,02_1K.bin,1024
7,985144,2995352020,quick-sort,02_1K.bin,1024
8,950786,2995352020,quick-sort,02_1K.bin,1024
9,1033054,2995352020,quick-sort,02_1K.bin,1024
10,954156,2995352020,quick-sort,02_1K.bin,1024
