run_number,cycles,cpu_clock_hz,algorithm,file,file_size_bytes
1,22700552,2995571232,merge-sort,02_1K.bin,1024
2,9414300,2995571232,merge-sort,02_1K.bin,1024
3,9247616,2995571232,merge-sort,02_1K.bin,1024
4,9023898,2995571232,merge-sort,02_1K.bin,1024
5,9465708,2995571232,merge-sort,02_1K.bin,1024
6,9096604,2995571232,merge-sort,02_1K.bin,1024
7,11230874,2995571232,merge-sort,02_1K.bin,1024
8,11678900,2995571232,merge-sort,02_1K.bin,1024
9,12033682,2995571232,merge-sort,02_1K.bin,1024
10,8555176,2995571232,merge-sort,02_1K.bin,1024
