run_number,cycles,cpu_clock_hz,algorithm,file,file_size_bytes
1,260640886,2995526170,bubble-sort,03_5K.bin,5120
2,233437456,2995526170,bubble-sort,03_5K.bin,5120
3,230106496,2995526170,bubble-sort,03_5K.bin,5120
4,226343184,2995526170,bubble-sort,03_5K.bin,5120
5,225277644,2995526170,bubble-sort,03_5K.bin,5120
6,233182400,2995526170,bubble-sort,03_5K.bin,5120
7,225824234,2995526170,bubble-sort,03_5K.bin,5120
8,232212790,2995526170,bubble-sort,03_5K.bin,5120
9,229521232,2995526170,bubble-sort,03_5K.bin,5120
10,227609354,2995526170,bubble-sort,03_5K.bin,5120
