run_number,cycles,cpu_clock_hz,algorithm,file,file_size_bytes
1,40553582,16224998,merge-sort,02_1K.bin,1024
2,41803745,16224998,merge-sort,02_1K.bin,1024
3,42036997,16224998,merge-sort,02_1K.bin,1024
4,41673818,16224998,merge-sort,02_1K.bin,1024
5,41245761,16224998,merge-sort,02_1K.bin,1024
6,42452853,16224998,merge-sort,02_1K.bin,1024
7,42050237,16224998,merge-sort,02_1K.bin,1024
8,41387420,16224998,merge-sort,02_1K.bin,1024
9,42809882,16224998,merge-sort,02_1K.bin,1024
10,40860200,16224998,merge-sort,02_1K.bin,1024
