run_number,cycles,cpu_clock_hz,algorithm,file,file_size_bytes
1,9566670,12877477,quick-sort,04_10K.bin,10240
2,9587091,12877477,quick-sort,04_10K.bin,10240
3,10201030,12877477,quick-sort,04_10K.bin,10240
4,9724471,12877477,quick-sort,04_10K.bin,10240
5,9478024,12877477,quick-sort,04_10K.bin,10240
6,9474426,12877477,quick-sort,04_10K.bin,10240
7,9485069,12877477,quick-sort,04_10K.bin,10240
8,9464269,12877477,quick-sort,04_10K.bin,10240
9,9580971,12877477,quick-sort,04_10K.bin,10240
10,9487394,12877477,quick-sort,04_10K.bin,10240
