run_number,cycles,cpu_clock_hz,algorithm,file,file_size_bytes
1,798129736,2995352860,merge-sort,06_100K.bin,102400
2,939041656,2995352860,merge-sort,06_100K.bin,102400
3,965961098,2995352860,merge-sort,06_100K.bin,102400
4,937998932,2995352860,merge-sort,06_100K.bin,102400
5,942632744,2995352860,merge-sort,06_100K.bin,102400
6,970141574,2995352860,merge-sort,06_100K.bin,102400
7,936741546,2995352860,merge-sort,06_100K.bin,102400
8,948493704,2995352860,merge-sort,06_100K.bin,102400
9,937637790,2995352860,merge-sort,06_100K.bin,102400
10,938279308,2995352860,merge-sort,06_100K.bin,102400
