run_number,cycles,cpu_clock_hz,algorithm,file,file_size_bytes
1,54055942,12560404,quick-sort,05_50K.bin,51200
2,53925434,12560404,quick-sort,05_50K.bin,51200
3,54200606,12560404,quick-sort,05_50K.bin,51200
4,54247951,12560404,quick-sort,05_50K.bin,51200
5,54091436,12560404,quick-sort,05_50K.bin,51200
6,54175368,12560404,quick-sort,05_50K.bin,51200
7,54101804,12560404,quick-sort,05_50K.bin,51200
8,54721028,12560404,quick-sort,05_50K.bin,51200
9,54572063,12560404,quick-sort,05_50K.bin,51200
10,54392150,12560404,quick-sort,05_50K.bin,51200
