run_number,cycles,cpu_clock_hz,algorithm,file,file_size_bytes
1,4146627473,12341022,merge-sort,06_100K.bin,102400
2,4141901474,12341022,merge-sort,06_100K.bin,102400
3,4149353591,12341022,merge-sort,06_100K.bin,102400
4,4149018514,12341022,merge-sort,06_100K.bin,102400
5,4141851903,12341022,merge-sort,06_100K.bin,102400
6,4147377803,12341022,merge-sort,06_100K.bin,102400
7,4139306891,12341022,merge-sort,06_100K.bin,102400
8,4141457184,12341022,merge-sort,06_100K.bin,102400
9,4144059191,12341022,merge-sort,06_100K.bin,102400
10,4142223411,12341022,merge-sort,06_100K.bin,102400
