run_number,cycles,cpu_clock_hz,algorithm,file,file_size_bytes
1,93541362,2995310564,merge-sort,04_10K.bin,10240
2,99170956,2995310564,merge-sort,04_10K.bin,10240
3,93917950,2995310564,merge-sort,04_10K.bin,10240
4,92568772,2995310564,merge-sort,04_10K.bin,10240
5,95339758,2995310564,merge-sort,04_10K.bin,10240
6,91776446,2995310564,merge-sort,04_10K.bin,10240
7,92043822,2995310564,merge-sort,04_10K.bin,10240
8,93031298,2995310564,merge-sort,04_10K.bin,10240
9,97925298,2995310564,merge-sort,04_10K.bin,10240
10,91902512,2995310564,merge-sort,04_10K.bin,10240
