run_number,cycles,cpu_clock_hz,algorithm,file,file_size_bytes
1,68086633,11176396,bubble-sort,02_1K.bin,1024
2,67961092,11176396,bubble-sort,02_1K.bin,1024
3,68059209,11176396,bubble-sort,02_1K.bin,1024
4,68079628,11176396,bubble-sort,02_1K.bin,1024
5,68101653,11176396,bubble-sort,02_1K.bin,1024
6,68057810,11176396,bubble-sort,02_1K.bin,1024
7,67992651,11176396,bubble-sort,02_1K.bin,1024
8,68154586,11176396,bubble-sort,02_1K.bin,1024
9,68067533,11176396,bubble-sort,02_1K.bin,1024
10,68200204,11176396,bubble-sort,02_1K.bin,1024
