run_number,cycles,cpu_clock_hz,algorithm,file,file_size_bytes
1,1695581318,12121450,bubble-sort,03_5K.bin,5120
2,1695007061,12121450,bubble-sort,03_5K.bin,5120
3,1695415200,12121450,bubble-sort,03_5K.bin,5120
4,1696482716,12121450,bubble-sort,03_5K.bin,5120
5,1696111882,12121450,bubble-sort,03_5K.bin,5120
6,1695393902,12121450,bubble-sort,03_5K.bin,5120
7,1695021194,12121450,bubble-sort,03_5K.bin,5120
8,1696516544,12121450,bubble-sort,03_5K.bin,5120
9,1696117676,12121450,bubble-sort,03_5K.bin,5120
10,1695178350,12121450,bubble-sort,03_5K.bin,5120
