run_number,cycles,cpu_clock_hz,algorithm,file,file_size_bytes
1,89495571806,2995576268,bubble-sort,06_100K.bin,102400
2,89265235880,2995576268,bubble-sort,06_100K.bin,102400
3,89406348466,2995576268,bubble-sort,06_100K.bin,102400
4,89340605040,2995576268,bubble-sort,06_100K.bin,102400
5,89212345852,2995576268,bubble-sort,06_100K.bin,102400
6,89589077290,2995576268,bubble-sort,06_100K.bin,102400
7,89127914816,2995576268,bubble-sort,06_100K.bin,102400
8,88788239178,2995576268,bubble-sort,06_100K.bin,102400
9,88562186492,2995576268,bubble-sort,06_100K.bin,102400
10,89374833010,2995576268,bubble-sort,06_100K.bin,102400
