run_number,cycles,cpu_clock_hz,algorithm,file,file_size_bytes
1,6721398467,12395047,bubble-sort,04_10K.bin,10240
2,6721037394,12395047,bubble-sort,04_10K.bin,10240
3,6724315370,12395047,bubble-sort,04_10K.bin,10240
4,6722989762,12395047,bubble-sort,04_10K.bin,10240
5,6721165314,12395047,bubble-sort,04_10K.bin,10240
6,6722593794,12395047,bubble-sort,04_10K.bin,10240
7,6721821732,12395047,bubble-sort,04_10K.bin,10240
8,6722470271,12395047,bubble-sort,04_10K.bin,10240
9,6722867379,12395047,bubble-sort,04_10K.bin,10240
10,6723677443,12395047,bubble-sort,04_10K.bin,10240
