run_number,cycles,cpu_clock_hz,algorithm,file,file_size_bytes
1,4573238,13520184,quick-sort,03_5K.bin,5120
2,4543308,13520184,quick-sort,03_5K.bin,5120
3,4414852,13520184,quick-sort,03_5K.bin,5120
4,4434312,13520184,quick-sort,03_5K.bin,5120
5,4529468,13520184,quick-sort,03_5K.bin,5120
6,4429730,13520184,quick-sort,03_5K.bin,5120
7,4543828,13520184,quick-sort,03_5K.bin,5120
8,4642345,13520184,quick-sort,03_5K.bin,5120
9,4411106,13520184,quick-sort,03_5K.bin,5120
10,4588629,13520184,quick-sort,03_5K.bin,5120
