run_number,cycles,cpu_clock_hz,algorithm,file,file_size_bytes
1,205791596,11626198,merge-sort,03_5K.bin,5120
2,205775167,11626198,merge-sort,03_5K.bin,5120
3,207608667,11626198,merge-sort,03_5K.bin,5120
4,206148616,11626198,merge-sort,03_5K.bin,5120
5,206362213,11626198,merge-sort,03_5K.bin,5120
6,206794539,11626198,merge-sort,03_5K.bin,5120
7,207322966,11626198,merge-sort,03_5K.bin,5120
8,206811779,11626198,merge-sort,03_5K.bin,5120
9,206617400,11626198,merge-sort,03_5K.bin,5120
10,206262105,11626198,merge-sort,03_5K.bin,5120
