run_number,cycles,cpu_clock_hz,algorithm,file,file_size_bytes
1,783177,12585456,quick-sort,02_1K.bin,1024
2,782052,12585456,quick-sort,02_1K.bin,1024
3,795882,12585456,quick-sort,02_1K.bin,1024
4,794792,12585456,quick-sort,02_1K.bin,1024
5,857817,12585456,quick-sort,02_1K.bin,1024
6,780436,12585456,quick-sort,02_1K.bin,1024
7,787713,12585456,quick-sort,02_1K.bin,1024
8,1006535,12585456,quick-sort,02_1K.bin,1024
9,784251,12585456,quick-sort,02_1K.bin,1024
10,797269,12585456,quick-sort,02_1K.bin,1024
