run_number,cycles,cpu_clock_hz,algorithm,file,file_size_bytes
1,170578193536,11429472,bubble-sort,05_50K.bin,51200
2,170564059830,11429472,bubble-sort,05_50K.bin,51200
3,170587771443,11429472,bubble-sort,05_50K.bin,51200
4,170578447651,11429472,bubble-sort,05_50K.bin,51200
5,170611365720,11429472,bubble-sort,05_50K.bin,51200
6,170593082124,11429472,bubble-sort,05_50K.bin,51200
7,170580560996,11429472,bubble-sort,05_50K.bin,51200
8,170575861833,11429472,bubble-sort,05_50K.bin,51200
9,170584842060,11429472,bubble-sort,05_50K.bin,51200
10,170581136485,11429472,bubble-sort,05_50K.bin,51200
