run_number,cycles,cpu_clock_hz,algorithm,file,file_size_bytes
1,416008282,11455958,merge-sort,04_10K.bin,10240
2,414144416,11455958,merge-sort,04_10K.bin,10240
3,413926228,11455958,merge-sort,04_10K.bin,10240
4,412826100,11455958,merge-sort,04_10K.bin,10240
5,412940273,11455958,merge-sort,04_10K.bin,10240
6,413758473,11455958,merge-sort,04_10K.bin,10240
7,414846482,11455958,merge-sort,04_10K.bin,10240
8,413884769,11455958,merge-sort,04_10K.bin,10240
9,412895100,11455958,merge-sort,04_10K.bin,10240
10,416351897,11455958,merge-sort,04_10K.bin,10240
