run_number,cycles,cpu_clock_hz,algorithm,file,file_size_bytes
1,53403892,2995358008,merge-sort,03_5K.bin,5120
2,52535244,2995358008,merge-sort,03_5K.bin,5120
3,45807088,2995358008,merge-sort,03_5K.bin,5120
4,47927390,2995358008,merge-sort,03_5K.bin,5120
5,46013056,2995358008,merge-sort,03_5K.bin,5120
6,47903130,2995358008,merge-sort,03_5K.bin,5120
7,47772958,2995358008,merge-sort,03_5K.bin,5120
8,44879654,2995358008,merge-sort,03_5K.bin,5120
9,48018906,2995358008,merge-sort,03_5K.bin,5120
10,48624218,2995358008,merge-sort,03_5K.bin,5120
