run_number,cycles,cpu_clock_hz,algorithm,file,file_size_bytes
1,5590728,2995360902,quick-sort,03_5K.bin,5120
2,5583290,2995360902,quick-sort,03_5K.bin,5120
3,5380360,2995360902,quick-sort,03_5K.bin,5120
4,5412130,2995360902,quick-sort,03_5K.bin,5120
5,5481406,2995360902,quick-sort,03_5K.bin,5120
6,2070538,2995360902,quick-sort,03_5K.bin,5120
7,1047546,2995360902,quick-sort,03_5K.bin,5120
8,1069082,2995360902,quick-sort,03_5K.bin,5120
9,1057794,2995360902,quick-sort,03_5K.bin,5120
10,1060110,2995360902,quick-sort,03_5K.bin,5120
