run_number,cycles,cpu_clock_hz,algorithm,file,file_size_bytes
1,41618002,2995330322,bubble-sort,02_1K.bin,1024
2,19431734,2995330322,bubble-sort,02_1K.bin,1024
3,9683386,2995330322,bubble-sort,02_1K.bin,1024
4,9412698,2995330322,bubble-sort,02_1K.bin,1024
5,8872904,2995330322,bubble-sort,02_1K.bin,1024
6,9229810,2995330322,bubble-sort,02_1K.bin,1024
7,10241616,2995330322,bubble-sort,02_1K.bin,1024
8,10001278,2995330322,bubble-sort,02_1K.bin,1024
9,9237300,2995330322,bubble-sort,02_1K.bin,1024
10,8895160,2995330322,bubble-sort,02_1K.bin,1024
