run_number,cycles,cpu_clock_hz,algorithm,file,file_size_bytes
1,46852110,2995358752,quick-sort,06_100K.bin,102400
2,23545758,2995358752,quick-sort,06_100K.bin,102400
3,23348094,2995358752,quick-sort,06_100K.bin,102400
4,23182198,2995358752,quick-sort,06_100K.bin,102400
5,23190744,2995358752,quick-sort,06_100K.bin,102400
6,23269960,2995358752,quick-sort,06_100K.bin,102400
7,23020458,2995358752,quick-sort,06_100K.bin,102400
8,23353476,2995358752,quick-sort,06_100K.bin,102400
9,23298712,2995358752,quick-sort,06_100K.bin,102400
10,23155610,2995358752,quick-sort,06_100K.bin,102400
